countycode,Electronic_prescriptions,Opioid,Population,Male,White,Poverty ,Income,Hospitals,Pharmacies
36015,827,0,38478,38912,20283,36535,1941,95,1917
36017,260,0,50660,51280,28253,42933,2911,94,1698
36019,551,0,53992,54606,27217,51970,2916,95,533
36021,610,0,58937,59458,29617,55337,2752,95,495
36023,455,0,47625,48312,24996,43446,2441,95,658
36025,312,0,4712,4760,2406,4584,254,95,1808
36027,1558,0,63100,64034,31598,61358,3229,95,1458
36029,7968,0,117635,118947,61875,104879,6347,95,1857
36031,253,7.4,2636735,2595259,1229001,1321716,233136,91,97
36033,384,0,26957,27124,13715,26351,1578,94,1290
36035,299,0,64717,64801,32469,61125,2788,96,640
36037,312,0,71849,72427,35647,68778,3109,96,662
36039,541,10.8,749600,749356,362021,587604,33894,95,1366
36041,47,0,49642,49779,24504,47003,3011,94,410
36043,263,12.9,1361350,1354612,656738,1039734,73340,95,453
36045,439,7,1644518,1629507,769434,1083185,106584,94,34
36047,0,20.7,212652,214150,104173,190085,9453,96,1140
36049,80,15.1,232500,233558,116334,203874,10958,95,1257
36051,511,15.4,468463,468304,226176,383291,22210,95,806
36053,433,0,109561,109192,53574,104024,4942,95,662
36055,2558,17.2,377647,375384,187873,312647,20735,95,839
36057,319,0,41582,42204,21001,37889,2277,95,818
36059,3844,0,120146,121183,60691,116561,6351,95,1312
36061,0,0,60636,61399,29873,57778,2840,95,1015
36063,870,0,99042,99488,49597,92133,4559,95,246
36065,1315,5,2339150,2301139,1115459,1162016,258703,89,177
36067,3888,0,160266,159900,78944,141761,6795,96,665
36069,574,13.9,474558,472481,228703,369064,25696,95,103
36071,3801,8.6,326037,320688,157250,255655,20496,94,199
36073,290,0,111007,112011,57007,104872,5614,95,2822
36075,672,0,226249,223774,110362,214229,9221,96,844
36077,347,0,154604,154796,75210,125646,7248,95,210
36079,484,0,31330,31913,15946,30319,1488,95,626
36081,0,0,18186,18410,9262,17727,942,95,346
36083,1049,0,34833,35144,18527,32304,1826,95,391
36085,0,0,97631,98665,48887,93592,4695,95,1404
36087,1786,14.7,1501587,1501373,739210,1288187,86917,94,2373
36089,551,0,74877,76330,38992,64619,5260,93,997
36091,1015,0,49453,50199,24794,48207,2186,96,523
36093,812,0,104926,103855,51125,87154,5055,95,492
36095,226,15,180143,181300,90169,160638,10680,94,1161
36097,51,0,64688,65180,31977,62772,2993,95,932
36099,239,0,62230,62700,32471,59284,3020,95,846
36101,480,0,91446,92416,45726,86590,4819,95,1384
36103,8456,8.9,976396,967315,466996,734637,66058,93,500
36105,710,0,41013,41446,22442,37923,1863,95,596
36107,212,0,25048,25187,12271,24472,1863,93,372
36109,566,0,102295,101767,50307,98298,6309,94,522
36111,1767,29,1230459,1231145,592511,1006581,58815,95,745
36113,483,0,67052,67979,33786,65915,3781,94,664
36115,546,13.6,168871,169785,82231,155462,7272,96,444
36117,381,0,48586,49086,24504,47819,3229,93,1017
36119,4962,6.3,415271,413965,203262,372181,29080,93,866
36121,213,0,125593,126448,61668,121300,6281,95,527
36123,123,0,61281,62228,30666,60068,3963,94,1161
39017,2290,48.4,376353,372538,182470,327999,23673,94,470
39025,637,48,201973,200285,98883,194749,12017,94,458
39035,5304,19.5,1255921,1263189,600864,816815,80109,94,1246
39049,2990,18.9,1251722,1215761,592278,884299,99694,92,543
39061,6910,39.6,807598,804194,386561,562739,50791,94,413
39113,3034,39.8,532258,533763,256680,398837,35818,93,464
39153,3780,24.9,541968,541847,262467,436898,33505,94,420
40109,6000,8.5,776864,754480,369112,573584,108899,86,718
40143,2392,11.9,639242,623335,303789,489989,86346,86,587
41051,3675,10.9,790294,768418,379725,651668,55817,93,466
44007,1208,28.6,633473,630459,305247,511049,41503,93,436
47037,7127,18.6,678889,658506,317582,452696,81013,88,526
47093,2162,27,451324,444348,215996,394462,40387,91,526
47157,5299,14.7,938069,937750,447161,399350,110137,88,784
48029,15226,6,1897753,1825502,897690,1636254,274865,86,1257
48113,9964,6.1,2553385,2485003,1225722,1752259,510960,80,909
48201,21622,5.5,4538028,4356362,2166727,3230961,856230,81,1778
48453,6519,7.2,1176558,1121645,564941,964670,170253,86,1022
49035,5646,16.4,1107314,1078958,541831,993942,119879,89,808
49049,2691,13.2,575205,551957,277687,545564,55048,90,2141
53033,2520,9.4,2117125,2045756,1020901,1523817,118624,94,2307
53053,1369,10.3,843954,821952,408209,665534,52712,94,1807
53061,1533,12,772501,746653,374847,633299,46978,94,2197
55025,1781,11.5,523643,510198,252850,455722,24052,95,1238
55079,5364,23,957735,955939,461804,633938,69693,93,1190
